locs,techs,timesteps,required_resource
E5,demand_power,2021-01-05 03:00:00,-25.0
E5,demand_power,2021-01-05 04:00:00,-24.0
E5,demand_power,2021-01-05 05:00:00,-24.0
E5,demand_power,2021-01-05 06:00:00,-24.0
E5,demand_power,2021-01-05 07:00:00,-25.0
E5,demand_power,2021-01-05 08:00:00,-26.0
E5,demand_power,2021-01-05 09:00:00,-30.0
E5,demand_power,2021-01-05 10:00:00,-31.0
E5,demand_power,2021-01-05 11:00:00,-32.0
E5,demand_power,2021-01-05 12:00:00,-32.0
E5,demand_power,2021-01-05 13:00:00,-32.0
E5,demand_power,2021-01-05 14:00:00,-33.0
E5,demand_power,2021-01-05 15:00:00,-34.0
E5,demand_power,2021-01-05 16:00:00,-34.0
E5,demand_power,2021-01-05 17:00:00,-33.0
E5,demand_power,2021-01-05 18:00:00,-31.0
E5,demand_power,2021-01-05 19:00:00,-31.0
E5,demand_power,2021-01-05 20:00:00,-33.0
E5,demand_power,2021-01-05 21:00:00,-32.0
E5,demand_power,2021-01-05 22:00:00,-31.0
E5,demand_power,2021-01-05 23:00:00,-30.0
E5,demand_power,2021-01-06 00:00:00,-28.0
E5,demand_power,2021-01-06 01:00:00,-27.0
E5,demand_power,2021-01-06 02:00:00,-26.0
E5,demand_power,2021-01-06 03:00:00,-25.0
E5,demand_power,2021-01-06 04:00:00,-25.0
E5,demand_power,2021-01-06 05:00:00,-25.0
E5,demand_power,2021-01-06 06:00:00,-25.0
E5,demand_power,2021-01-06 07:00:00,-26.0
E5,demand_power,2021-01-06 08:00:00,-27.0
E5,demand_power,2021-01-06 09:00:00,-30.0
E5,demand_power,2021-01-06 10:00:00,-32.0
E5,demand_power,2021-01-06 11:00:00,-32.0
E5,demand_power,2021-01-06 12:00:00,-32.0
E5,demand_power,2021-01-06 13:00:00,-31.0
E5,demand_power,2021-01-06 14:00:00,-32.0
E5,demand_power,2021-01-06 15:00:00,-32.0
E5,demand_power,2021-01-06 16:00:00,-32.0
E5,demand_power,2021-01-06 17:00:00,-32.0
E5,demand_power,2021-01-06 18:00:00,-30.0
E5,demand_power,2021-01-06 19:00:00,-30.0
E5,demand_power,2021-01-06 20:00:00,-32.0
E5,demand_power,2021-01-06 21:00:00,-31.0
E5,demand_power,2021-01-06 22:00:00,-30.0
E5,demand_power,2021-01-06 23:00:00,-29.0
E5,demand_power,2021-01-07 00:00:00,-27.0
E5,demand_power,2021-01-07 01:00:00,-26.0
E5,demand_power,2021-01-07 02:00:00,-26.0
E5,demand_power,2021-01-07 03:00:00,-25.0
E5,demand_power,2021-01-07 04:00:00,-24.0
E5,demand_power,2021-01-07 05:00:00,-24.0
E5,demand_power,2021-01-07 06:00:00,-25.0
E5,demand_power,2021-01-07 07:00:00,-25.0
E5,demand_power,2021-01-07 08:00:00,-27.0
E5,demand_power,2021-01-07 09:00:00,-30.0
E5,demand_power,2021-01-07 10:00:00,-31.0
E5,demand_power,2021-01-07 11:00:00,-32.0
E5,demand_power,2021-01-07 12:00:00,-32.0
E5,demand_power,2021-01-07 13:00:00,-31.0
E5,demand_power,2021-01-07 14:00:00,-32.0
E5,demand_power,2021-01-07 15:00:00,-33.0
E5,demand_power,2021-01-07 16:00:00,-33.0
E5,demand_power,2021-01-07 17:00:00,-32.0
E5,demand_power,2021-01-07 18:00:00,-31.0
E5,demand_power,2021-01-07 19:00:00,-31.0
E5,demand_power,2021-01-07 20:00:00,-33.0
E5,demand_power,2021-01-07 21:00:00,-32.0
E5,demand_power,2021-01-07 22:00:00,-30.0
E5,demand_power,2021-01-07 23:00:00,-30.0
N1,demand_power,2021-01-01 00:00:00,-80.0
N1,demand_power,2021-01-01 01:00:00,-77.0
N1,demand_power,2021-01-01 02:00:00,-75.0
N1,demand_power,2021-01-01 03:00:00,-72.0
N1,demand_power,2021-01-01 04:00:00,-70.0
N1,demand_power,2021-01-01 05:00:00,-69.0
N1,demand_power,2021-01-01 06:00:00,-69.0
N1,demand_power,2021-01-01 07:00:00,-67.0
N1,demand_power,2021-01-01 08:00:00,-65.0
N1,demand_power,2021-01-01 09:00:00,-67.0
N1,demand_power,2021-01-01 10:00:00,-70.0
N1,demand_power,2021-01-01 11:00:00,-71.0
N1,demand_power,2021-01-01 12:00:00,-72.0
N1,demand_power,2021-01-01 13:00:00,-71.0
N1,demand_power,2021-01-01 14:00:00,-72.0
N1,demand_power,2021-01-01 15:00:00,-72.0
N1,demand_power,2021-01-01 16:00:00,-73.0
N1,demand_power,2021-01-01 17:00:00,-73.0
N1,demand_power,2021-01-01 18:00:00,-73.0
N1,demand_power,2021-01-01 19:00:00,-77.0
N1,demand_power,2021-01-01 20:00:00,-82.0
N1,demand_power,2021-01-01 21:00:00,-81.0
N1,demand_power,2021-01-01 22:00:00,-79.0
N1,demand_power,2021-01-01 23:00:00,-77.0
N1,demand_power,2021-01-02 00:00:00,-75.0
N1,demand_power,2021-01-02 01:00:00,-72.0
N1,demand_power,2021-01-02 02:00:00,-70.0
N1,demand_power,2021-01-02 03:00:00,-68.0
N1,demand_power,2021-01-02 04:00:00,-66.0
N1,demand_power,2021-01-02 05:00:00,-66.0
N1,demand_power,2021-01-02 06:00:00,-66.0
N1,demand_power,2021-01-02 07:00:00,-66.0
N1,demand_power,2021-01-02 08:00:00,-67.0
N1,demand_power,2021-01-02 09:00:00,-72.0
N1,demand_power,2021-01-02 10:00:00,-76.0
N1,demand_power,2021-01-02 11:00:00,-79.0
N1,demand_power,2021-01-02 12:00:00,-78.0
N1,demand_power,2021-01-02 13:00:00,-76.0
N1,demand_power,2021-01-02 14:00:00,-77.0
N1,demand_power,2021-01-02 15:00:00,-77.0
N1,demand_power,2021-01-02 16:00:00,-77.0
N1,demand_power,2021-01-02 17:00:00,-77.0
N1,demand_power,2021-01-02 18:00:00,-77.0
N1,demand_power,2021-01-02 19:00:00,-80.0
N1,demand_power,2021-01-02 20:00:00,-84.0
N1,demand_power,2021-01-02 21:00:00,-82.0
N1,demand_power,2021-01-02 22:00:00,-79.0
N1,demand_power,2021-01-02 23:00:00,-76.0
N1,demand_power,2021-01-03 00:00:00,-74.0
N1,demand_power,2021-01-03 01:00:00,-71.0
N1,demand_power,2021-01-03 02:00:00,-68.0
N1,demand_power,2021-01-03 03:00:00,-67.0
N1,demand_power,2021-01-03 04:00:00,-66.0
N1,demand_power,2021-01-03 05:00:00,-65.0
N1,demand_power,2021-01-03 06:00:00,-65.0
N1,demand_power,2021-01-03 07:00:00,-65.0
N1,demand_power,2021-01-03 08:00:00,-64.0
N1,demand_power,2021-01-03 09:00:00,-67.0
N1,demand_power,2021-01-03 10:00:00,-70.0
N1,demand_power,2021-01-03 11:00:00,-72.0
N1,demand_power,2021-01-03 12:00:00,-72.0
N1,demand_power,2021-01-03 13:00:00,-70.0
N1,demand_power,2021-01-03 14:00:00,-71.0
N1,demand_power,2021-01-03 15:00:00,-71.0
N1,demand_power,2021-01-03 16:00:00,-71.0
N1,demand_power,2021-01-03 17:00:00,-70.0
N1,demand_power,2021-01-03 18:00:00,-70.0
N1,demand_power,2021-01-03 19:00:00,-74.0
N1,demand_power,2021-01-03 20:00:00,-79.0
N1,demand_power,2021-01-03 21:00:00,-77.0
N1,demand_power,2021-01-03 22:00:00,-75.0
N1,demand_power,2021-01-03 23:00:00,-72.0
N1,demand_power,2021-01-04 00:00:00,-70.0
N1,demand_power,2021-01-04 01:00:00,-67.0
N1,demand_power,2021-01-04 02:00:00,-65.0
N1,demand_power,2021-01-04 03:00:00,-63.0
N1,demand_power,2021-01-04 04:00:00,-62.0
N1,demand_power,2021-01-04 05:00:00,-62.0
N1,demand_power,2021-01-04 06:00:00,-64.0
N1,demand_power,2021-01-04 07:00:00,-67.0
N1,demand_power,2021-01-04 08:00:00,-72.0
N1,demand_power,2021-01-04 09:00:00,-81.0
N1,demand_power,2021-01-04 10:00:00,-85.0
N1,demand_power,2021-01-04 11:00:00,-88.0
N1,demand_power,2021-01-04 12:00:00,-87.0
N1,demand_power,2021-01-04 13:00:00,-86.0
N1,demand_power,2021-01-04 14:00:00,-88.0
N1,demand_power,2021-01-04 15:00:00,-90.0
N1,demand_power,2021-01-04 16:00:00,-90.0
N1,demand_power,2021-01-04 17:00:00,-88.0
N1,demand_power,2021-01-04 18:00:00,-84.0
N1,demand_power,2021-01-04 19:00:00,-85.0
N1,demand_power,2021-01-04 20:00:00,-89.0
N1,demand_power,2021-01-04 21:00:00,-87.0
N1,demand_power,2021-01-04 22:00:00,-83.0
N1,demand_power,2021-01-04 23:00:00,-81.0
N1,demand_power,2021-01-05 00:00:00,-77.0
N1,demand_power,2021-01-05 01:00:00,-74.0
N1,demand_power,2021-01-05 02:00:00,-71.0
N1,demand_power,2021-01-05 03:00:00,-70.0
N1,demand_power,2021-01-05 04:00:00,-69.0
N1,demand_power,2021-01-05 05:00:00,-68.0
N1,demand_power,2021-01-05 06:00:00,-69.0
N1,demand_power,2021-01-05 07:00:00,-71.0
N1,demand_power,2021-01-05 08:00:00,-74.0
N1,demand_power,2021-01-05 09:00:00,-84.0
N1,demand_power,2021-01-05 10:00:00,-88.0
N1,demand_power,2021-01-05 11:00:00,-92.0
N1,demand_power,2021-01-05 12:00:00,-91.0
N1,demand_power,2021-01-05 13:00:00,-90.0
N1,demand_power,2021-01-05 14:00:00,-93.0
N1,demand_power,2021-01-05 15:00:00,-95.0
N1,demand_power,2021-01-05 16:00:00,-95.0
N1,demand_power,2021-01-05 17:00:00,-93.0
N1,demand_power,2021-01-05 18:00:00,-88.0
N1,demand_power,2021-01-05 19:00:00,-88.0
N1,demand_power,2021-01-05 20:00:00,-92.0
N1,demand_power,2021-01-05 21:00:00,-90.0
N1,demand_power,2021-01-05 22:00:00,-87.0
N1,demand_power,2021-01-05 23:00:00,-84.0
N1,demand_power,2021-01-06 00:00:00,-79.0
N1,demand_power,2021-01-06 01:00:00,-76.0
N1,demand_power,2021-01-06 02:00:00,-74.0
N1,demand_power,2021-01-06 03:00:00,-72.0
N1,demand_power,2021-01-06 04:00:00,-71.0
N1,demand_power,2021-01-06 05:00:00,-70.0
N1,demand_power,2021-01-06 06:00:00,-71.0
N1,demand_power,2021-01-06 07:00:00,-73.0
N1,demand_power,2021-01-06 08:00:00,-76.0
N1,demand_power,2021-01-06 09:00:00,-86.0
N1,demand_power,2021-01-06 10:00:00,-89.0
N1,demand_power,2021-01-06 11:00:00,-92.0
N1,demand_power,2021-01-06 12:00:00,-90.0
N1,demand_power,2021-01-06 13:00:00,-88.0
N1,demand_power,2021-01-06 14:00:00,-90.0
N1,demand_power,2021-01-06 15:00:00,-91.0
N1,demand_power,2021-01-06 16:00:00,-91.0
N1,demand_power,2021-01-06 17:00:00,-89.0
N1,demand_power,2021-01-06 18:00:00,-85.0
N1,demand_power,2021-01-06 19:00:00,-86.0
N1,demand_power,2021-01-06 20:00:00,-91.0
N1,demand_power,2021-01-06 21:00:00,-89.0
N1,demand_power,2021-01-06 22:00:00,-85.0
N1,demand_power,2021-01-06 23:00:00,-82.0
N1,demand_power,2021-01-07 00:00:00,-78.0
N1,demand_power,2021-01-07 01:00:00,-74.0
N1,demand_power,2021-01-07 02:00:00,-72.0
N1,demand_power,2021-01-07 03:00:00,-70.0
N1,demand_power,2021-01-07 04:00:00,-69.0
N1,demand_power,2021-01-07 05:00:00,-69.0
N1,demand_power,2021-01-07 06:00:00,-70.0
N1,demand_power,2021-01-07 07:00:00,-72.0
N1,demand_power,2021-01-07 08:00:00,-75.0
N1,demand_power,2021-01-07 09:00:00,-84.0
N1,demand_power,2021-01-07 10:00:00,-88.0
N1,demand_power,2021-01-07 11:00:00,-91.0
N1,demand_power,2021-01-07 12:00:00,-90.0
N1,demand_power,2021-01-07 13:00:00,-89.0
N1,demand_power,2021-01-07 14:00:00,-91.0
N1,demand_power,2021-01-07 15:00:00,-93.0
N1,demand_power,2021-01-07 16:00:00,-92.0
N1,demand_power,2021-01-07 17:00:00,-91.0
N1,demand_power,2021-01-07 18:00:00,-87.0
N1,demand_power,2021-01-07 19:00:00,-87.0
N1,demand_power,2021-01-07 20:00:00,-92.0
N1,demand_power,2021-01-07 21:00:00,-90.0
N1,demand_power,2021-01-07 22:00:00,-86.0
N1,demand_power,2021-01-07 23:00:00,-84.0
S1,demand_power,2021-01-01 00:00:00,-158.0
S1,demand_power,2021-01-01 01:00:00,-153.0
S1,demand_power,2021-01-01 02:00:00,-148.0
S1,demand_power,2021-01-01 03:00:00,-143.0
S1,demand_power,2021-01-01 04:00:00,-139.0
S1,demand_power,2021-01-01 05:00:00,-137.0
S1,demand_power,2021-01-01 06:00:00,-136.0
S1,demand_power,2021-01-01 07:00:00,-133.0
S1,demand_power,2021-01-01 08:00:00,-129.0
S1,demand_power,2021-01-01 09:00:00,-133.0
S1,demand_power,2021-01-01 10:00:00,-138.0
S1,demand_power,2021-01-01 11:00:00,-141.0
S1,demand_power,2021-01-01 12:00:00,-142.0
S1,demand_power,2021-01-01 13:00:00,-141.0
S1,demand_power,2021-01-01 14:00:00,-142.0
S1,demand_power,2021-01-01 15:00:00,-143.0
S1,demand_power,2021-01-01 16:00:00,-145.0
S1,demand_power,2021-01-01 17:00:00,-145.0
S1,demand_power,2021-01-01 18:00:00,-144.0
S1,demand_power,2021-01-01 19:00:00,-152.0
S1,demand_power,2021-01-01 20:00:00,-162.0
S1,demand_power,2021-01-01 21:00:00,-160.0
S1,demand_power,2021-01-01 22:00:00,-156.0
S1,demand_power,2021-01-01 23:00:00,-152.0
S1,demand_power,2021-01-02 00:00:00,-148.0
S1,demand_power,2021-01-02 01:00:00,-143.0
S1,demand_power,2021-01-02 02:00:00,-138.0
S1,demand_power,2021-01-02 03:00:00,-134.0
S1,demand_power,2021-01-02 04:00:00,-131.0
S1,demand_power,2021-01-02 05:00:00,-130.0
S1,demand_power,2021-01-02 06:00:00,-130.0
S1,demand_power,2021-01-02 07:00:00,-131.0
S1,demand_power,2021-01-02 08:00:00,-132.0
S1,demand_power,2021-01-02 09:00:00,-143.0
S1,demand_power,2021-01-02 10:00:00,-151.0
S1,demand_power,2021-01-02 11:00:00,-156.0
S1,demand_power,2021-01-02 12:00:00,-154.0
S1,demand_power,2021-01-02 13:00:00,-150.0
S1,demand_power,2021-01-02 14:00:00,-153.0
S1,demand_power,2021-01-02 15:00:00,-153.0
S1,demand_power,2021-01-02 16:00:00,-153.0
S1,demand_power,2021-01-02 17:00:00,-151.0
S1,demand_power,2021-01-02 18:00:00,-152.0
S1,demand_power,2021-01-02 19:00:00,-158.0
S1,demand_power,2021-01-02 20:00:00,-166.0
S1,demand_power,2021-01-02 21:00:00,-162.0
S1,demand_power,2021-01-02 22:00:00,-157.0
S1,demand_power,2021-01-02 23:00:00,-151.0
S1,demand_power,2021-01-03 00:00:00,-147.0
S1,demand_power,2021-01-03 01:00:00,-141.0
S1,demand_power,2021-01-03 02:00:00,-136.0
S1,demand_power,2021-01-03 03:00:00,-133.0
S1,demand_power,2021-01-03 04:00:00,-131.0
S1,demand_power,2021-01-03 05:00:00,-129.0
S1,demand_power,2021-01-03 06:00:00,-129.0
S1,demand_power,2021-01-03 07:00:00,-129.0
S1,demand_power,2021-01-03 08:00:00,-127.0
S1,demand_power,2021-01-03 09:00:00,-132.0
S1,demand_power,2021-01-03 10:00:00,-138.0
S1,demand_power,2021-01-03 11:00:00,-142.0
S1,demand_power,2021-01-03 12:00:00,-142.0
S1,demand_power,2021-01-03 13:00:00,-139.0
S1,demand_power,2021-01-03 14:00:00,-140.0
S1,demand_power,2021-01-03 15:00:00,-140.0
S1,demand_power,2021-01-03 16:00:00,-140.0
S1,demand_power,2021-01-03 17:00:00,-138.0
S1,demand_power,2021-01-03 18:00:00,-139.0
S1,demand_power,2021-01-03 19:00:00,-147.0
S1,demand_power,2021-01-03 20:00:00,-156.0
S1,demand_power,2021-01-03 21:00:00,-153.0
S1,demand_power,2021-01-03 22:00:00,-148.0
S1,demand_power,2021-01-03 23:00:00,-143.0
S1,demand_power,2021-01-04 00:00:00,-138.0
S1,demand_power,2021-01-04 01:00:00,-132.0
S1,demand_power,2021-01-04 02:00:00,-128.0
S1,demand_power,2021-01-04 03:00:00,-125.0
S1,demand_power,2021-01-04 04:00:00,-122.0
S1,demand_power,2021-01-04 05:00:00,-122.0
S1,demand_power,2021-01-04 06:00:00,-126.0
S1,demand_power,2021-01-04 07:00:00,-132.0
S1,demand_power,2021-01-04 08:00:00,-142.0
S1,demand_power,2021-01-04 09:00:00,-160.0
S1,demand_power,2021-01-04 10:00:00,-169.0
S1,demand_power,2021-01-04 11:00:00,-173.0
S1,demand_power,2021-01-04 12:00:00,-172.0
S1,demand_power,2021-01-04 13:00:00,-170.0
S1,demand_power,2021-01-04 14:00:00,-174.0
S1,demand_power,2021-01-04 15:00:00,-177.0
S1,demand_power,2021-01-04 16:00:00,-178.0
S1,demand_power,2021-01-04 17:00:00,-175.0
S1,demand_power,2021-01-04 18:00:00,-167.0
S1,demand_power,2021-01-04 19:00:00,-169.0
S1,demand_power,2021-01-04 20:00:00,-176.0
S1,demand_power,2021-01-04 21:00:00,-172.0
S1,demand_power,2021-01-04 22:00:00,-164.0
S1,demand_power,2021-01-04 23:00:00,-159.0
S1,demand_power,2021-01-05 00:00:00,-152.0
S1,demand_power,2021-01-05 01:00:00,-146.0
S1,demand_power,2021-01-05 02:00:00,-141.0
S1,demand_power,2021-01-05 03:00:00,-138.0
S1,demand_power,2021-01-05 04:00:00,-136.0
S1,demand_power,2021-01-05 05:00:00,-134.0
S1,demand_power,2021-01-05 06:00:00,-136.0
S1,demand_power,2021-01-05 07:00:00,-140.0
S1,demand_power,2021-01-05 08:00:00,-146.0
S1,demand_power,2021-01-05 09:00:00,-166.0
S1,demand_power,2021-01-05 10:00:00,-175.0
S1,demand_power,2021-01-05 11:00:00,-182.0
S1,demand_power,2021-01-05 12:00:00,-181.0
S1,demand_power,2021-01-05 13:00:00,-178.0
S1,demand_power,2021-01-05 14:00:00,-184.0
S1,demand_power,2021-01-05 15:00:00,-188.0
S1,demand_power,2021-01-05 16:00:00,-189.0
S1,demand_power,2021-01-05 17:00:00,-185.0
S1,demand_power,2021-01-05 18:00:00,-175.0
S1,demand_power,2021-01-05 19:00:00,-175.0
S1,demand_power,2021-01-05 20:00:00,-183.0
S1,demand_power,2021-01-05 21:00:00,-178.0
S1,demand_power,2021-01-05 22:00:00,-171.0
S1,demand_power,2021-01-05 23:00:00,-166.0
S1,demand_power,2021-01-06 00:00:00,-157.0
S1,demand_power,2021-01-06 01:00:00,-151.0
S1,demand_power,2021-01-06 02:00:00,-147.0
S1,demand_power,2021-01-06 03:00:00,-142.0
S1,demand_power,2021-01-06 04:00:00,-140.0
S1,demand_power,2021-01-06 05:00:00,-138.0
S1,demand_power,2021-01-06 06:00:00,-140.0
S1,demand_power,2021-01-06 07:00:00,-144.0
S1,demand_power,2021-01-06 08:00:00,-151.0
S1,demand_power,2021-01-06 09:00:00,-170.0
S1,demand_power,2021-01-06 10:00:00,-177.0
S1,demand_power,2021-01-06 11:00:00,-182.0
S1,demand_power,2021-01-06 12:00:00,-179.0
S1,demand_power,2021-01-06 13:00:00,-175.0
S1,demand_power,2021-01-06 14:00:00,-178.0
S1,demand_power,2021-01-06 15:00:00,-180.0
S1,demand_power,2021-01-06 16:00:00,-181.0
S1,demand_power,2021-01-06 17:00:00,-177.0
S1,demand_power,2021-01-06 18:00:00,-168.0
S1,demand_power,2021-01-06 19:00:00,-170.0
S1,demand_power,2021-01-06 20:00:00,-180.0
S1,demand_power,2021-01-06 21:00:00,-176.0
S1,demand_power,2021-01-06 22:00:00,-168.0
S1,demand_power,2021-01-06 23:00:00,-162.0
S1,demand_power,2021-01-07 00:00:00,-154.0
S1,demand_power,2021-01-07 01:00:00,-147.0
S1,demand_power,2021-01-07 02:00:00,-143.0
S1,demand_power,2021-01-07 03:00:00,-139.0
S1,demand_power,2021-01-07 04:00:00,-137.0
S1,demand_power,2021-01-07 05:00:00,-136.0
S1,demand_power,2021-01-07 06:00:00,-138.0
S1,demand_power,2021-01-07 07:00:00,-142.0
S1,demand_power,2021-01-07 08:00:00,-149.0
S1,demand_power,2021-01-07 09:00:00,-166.0
S1,demand_power,2021-01-07 10:00:00,-175.0
S1,demand_power,2021-01-07 11:00:00,-180.0
S1,demand_power,2021-01-07 12:00:00,-179.0
S1,demand_power,2021-01-07 13:00:00,-175.0
S1,demand_power,2021-01-07 14:00:00,-180.0
S1,demand_power,2021-01-07 15:00:00,-183.0
S1,demand_power,2021-01-07 16:00:00,-183.0
S1,demand_power,2021-01-07 17:00:00,-181.0
S1,demand_power,2021-01-07 18:00:00,-173.0
S1,demand_power,2021-01-07 19:00:00,-172.0
S1,demand_power,2021-01-07 20:00:00,-183.0
S1,demand_power,2021-01-07 21:00:00,-178.0
S1,demand_power,2021-01-07 22:00:00,-171.0
S1,demand_power,2021-01-07 23:00:00,-165.0
S2,demand_power,2021-01-01 00:00:00,-88.0
S2,demand_power,2021-01-01 01:00:00,-85.0
S2,demand_power,2021-01-01 02:00:00,-82.0
S2,demand_power,2021-01-01 03:00:00,-79.0
S2,demand_power,2021-01-01 04:00:00,-77.0
S2,demand_power,2021-01-01 05:00:00,-76.0
S2,demand_power,2021-01-01 06:00:00,-76.0
S2,demand_power,2021-01-01 07:00:00,-74.0
S2,demand_power,2021-01-01 08:00:00,-71.0
S2,demand_power,2021-01-01 09:00:00,-74.0
S2,demand_power,2021-01-01 10:00:00,-77.0
S2,demand_power,2021-01-01 11:00:00,-78.0
S2,demand_power,2021-01-01 12:00:00,-79.0
S2,demand_power,2021-01-01 13:00:00,-78.0
S2,demand_power,2021-01-01 14:00:00,-79.0
S2,demand_power,2021-01-01 15:00:00,-79.0
S2,demand_power,2021-01-01 16:00:00,-80.0
S2,demand_power,2021-01-01 17:00:00,-80.0
S2,demand_power,2021-01-01 18:00:00,-80.0
S2,demand_power,2021-01-01 19:00:00,-84.0
S2,demand_power,2021-01-01 20:00:00,-90.0
S2,demand_power,2021-01-01 21:00:00,-89.0
S2,demand_power,2021-01-01 22:00:00,-86.0
S2,demand_power,2021-01-01 23:00:00,-84.0
S2,demand_power,2021-01-02 00:00:00,-82.0
S2,demand_power,2021-01-02 01:00:00,-79.0
S2,demand_power,2021-01-02 02:00:00,-76.0
S2,demand_power,2021-01-02 03:00:00,-74.0
S2,demand_power,2021-01-02 04:00:00,-72.0
S2,demand_power,2021-01-02 05:00:00,-72.0
S2,demand_power,2021-01-02 06:00:00,-72.0
S2,demand_power,2021-01-02 07:00:00,-73.0
S2,demand_power,2021-01-02 08:00:00,-73.0
S2,demand_power,2021-01-02 09:00:00,-79.0
S2,demand_power,2021-01-02 10:00:00,-84.0
S2,demand_power,2021-01-02 11:00:00,-87.0
S2,demand_power,2021-01-02 12:00:00,-86.0
S2,demand_power,2021-01-02 13:00:00,-83.0
S2,demand_power,2021-01-02 14:00:00,-85.0
S2,demand_power,2021-01-02 15:00:00,-85.0
S2,demand_power,2021-01-02 16:00:00,-85.0
S2,demand_power,2021-01-02 17:00:00,-84.0
S2,demand_power,2021-01-02 18:00:00,-84.0
S2,demand_power,2021-01-02 19:00:00,-88.0
S2,demand_power,2021-01-02 20:00:00,-92.0
S2,demand_power,2021-01-02 21:00:00,-90.0
S2,demand_power,2021-01-02 22:00:00,-87.0
S2,demand_power,2021-01-02 23:00:00,-84.0
S2,demand_power,2021-01-03 00:00:00,-81.0
S2,demand_power,2021-01-03 01:00:00,-78.0
S2,demand_power,2021-01-03 02:00:00,-75.0
S2,demand_power,2021-01-03 03:00:00,-74.0
S2,demand_power,2021-01-03 04:00:00,-72.0
S2,demand_power,2021-01-03 05:00:00,-71.0
S2,demand_power,2021-01-03 06:00:00,-71.0
S2,demand_power,2021-01-03 07:00:00,-71.0
S2,demand_power,2021-01-03 08:00:00,-70.0
S2,demand_power,2021-01-03 09:00:00,-73.0
S2,demand_power,2021-01-03 10:00:00,-77.0
S2,demand_power,2021-01-03 11:00:00,-79.0
S2,demand_power,2021-01-03 12:00:00,-78.0
S2,demand_power,2021-01-03 13:00:00,-77.0
S2,demand_power,2021-01-03 14:00:00,-77.0
S2,demand_power,2021-01-03 15:00:00,-78.0
S2,demand_power,2021-01-03 16:00:00,-78.0
S2,demand_power,2021-01-03 17:00:00,-77.0
S2,demand_power,2021-01-03 18:00:00,-77.0
S2,demand_power,2021-01-03 19:00:00,-82.0
S2,demand_power,2021-01-03 20:00:00,-86.0
S2,demand_power,2021-01-03 21:00:00,-85.0
S2,demand_power,2021-01-03 22:00:00,-82.0
S2,demand_power,2021-01-03 23:00:00,-79.0
S2,demand_power,2021-01-04 00:00:00,-76.0
S2,demand_power,2021-01-04 01:00:00,-73.0
S2,demand_power,2021-01-04 02:00:00,-71.0
S2,demand_power,2021-01-04 03:00:00,-69.0
S2,demand_power,2021-01-04 04:00:00,-68.0
S2,demand_power,2021-01-04 05:00:00,-68.0
S2,demand_power,2021-01-04 06:00:00,-70.0
S2,demand_power,2021-01-04 07:00:00,-73.0
S2,demand_power,2021-01-04 08:00:00,-78.0
S2,demand_power,2021-01-04 09:00:00,-89.0
S2,demand_power,2021-01-04 10:00:00,-94.0
S2,demand_power,2021-01-04 11:00:00,-96.0
S2,demand_power,2021-01-04 12:00:00,-95.0
S2,demand_power,2021-01-04 13:00:00,-94.0
S2,demand_power,2021-01-04 14:00:00,-97.0
S2,demand_power,2021-01-04 15:00:00,-98.0
S2,demand_power,2021-01-04 16:00:00,-99.0
S2,demand_power,2021-01-04 17:00:00,-97.0
S2,demand_power,2021-01-04 18:00:00,-92.0
S2,demand_power,2021-01-04 19:00:00,-94.0
S2,demand_power,2021-01-04 20:00:00,-97.0
S2,demand_power,2021-01-04 21:00:00,-95.0
S2,demand_power,2021-01-04 22:00:00,-91.0
S2,demand_power,2021-01-04 23:00:00,-88.0
S2,demand_power,2021-01-05 00:00:00,-84.0
S2,demand_power,2021-01-05 01:00:00,-81.0
S2,demand_power,2021-01-05 02:00:00,-78.0
S2,demand_power,2021-01-05 03:00:00,-76.0
S2,demand_power,2021-01-05 04:00:00,-75.0
S2,demand_power,2021-01-05 05:00:00,-74.0
S2,demand_power,2021-01-05 06:00:00,-76.0
S2,demand_power,2021-01-05 07:00:00,-78.0
S2,demand_power,2021-01-05 08:00:00,-81.0
S2,demand_power,2021-01-05 09:00:00,-92.0
S2,demand_power,2021-01-05 10:00:00,-97.0
S2,demand_power,2021-01-05 11:00:00,-101.0
S2,demand_power,2021-01-05 12:00:00,-100.0
S2,demand_power,2021-01-05 13:00:00,-99.0
S2,demand_power,2021-01-05 14:00:00,-102.0
S2,demand_power,2021-01-05 15:00:00,-104.0
S2,demand_power,2021-01-05 16:00:00,-104.0
S2,demand_power,2021-01-05 17:00:00,-102.0
S2,demand_power,2021-01-05 18:00:00,-97.0
S2,demand_power,2021-01-05 19:00:00,-97.0
S2,demand_power,2021-01-05 20:00:00,-101.0
S2,demand_power,2021-01-05 21:00:00,-99.0
S2,demand_power,2021-01-05 22:00:00,-95.0
S2,demand_power,2021-01-05 23:00:00,-92.0
S2,demand_power,2021-01-06 00:00:00,-87.0
S2,demand_power,2021-01-06 01:00:00,-84.0
S2,demand_power,2021-01-06 02:00:00,-81.0
S2,demand_power,2021-01-06 03:00:00,-79.0
S2,demand_power,2021-01-06 04:00:00,-78.0
S2,demand_power,2021-01-06 05:00:00,-77.0
S2,demand_power,2021-01-06 06:00:00,-78.0
S2,demand_power,2021-01-06 07:00:00,-80.0
S2,demand_power,2021-01-06 08:00:00,-84.0
S2,demand_power,2021-01-06 09:00:00,-94.0
S2,demand_power,2021-01-06 10:00:00,-98.0
S2,demand_power,2021-01-06 11:00:00,-101.0
